Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-06-07,Army of the Dead,2021,https://boxd.it/1UBymV,2.5,,,2021-06-06
2021-06-07,L.A. Confidential,1997,https://boxd.it/1UDpCf,3.5,,,2021-06-06
2021-06-07,R'ha,2013,https://boxd.it/1UDvLH,,,,2021-06-06
2021-06-08,Feels Good Man,2020,https://boxd.it/1UIBNJ,3.5,,,2021-06-07
2021-06-08,Fargo,1996,https://boxd.it/1UKXvL,3,,,2021-06-07
2021-06-09,The Cannibal Club,2018,https://boxd.it/1URC07,3.5,,,2021-06-08
2021-06-09,The General,1926,https://boxd.it/1USps5,4.5,,,2021-06-08
2021-06-10,The Fountain,2006,https://boxd.it/1UZ4kD,3,,,2021-06-09
2021-06-10,Year One,2009,https://boxd.it/1UZL3F,0.5,,,2021-06-09
2021-06-10,Funny Face,1957,https://boxd.it/1V0J5L,3,,,2021-06-09
2021-06-11,Pumping Iron,1977,https://boxd.it/1V72KP,3.5,,,2021-06-10
2021-06-11,I Don't Feel at Home in This World Anymore,2017,https://boxd.it/1V7xev,3.5,,,2021-06-10
2021-06-11,Bo Burnham: Make Happy,2016,https://boxd.it/1VawCR,3,,,2021-06-11
2021-06-12,Dawn of the Dead,1978,https://boxd.it/1VeEX7,3.5,,,2021-06-11
2021-06-13,Monster,2003,https://boxd.it/1Vl2Nd,3,,,2021-06-12
2021-06-13,Charade,1963,https://boxd.it/1VmxgL,4,,,2021-06-12
2021-06-14,Triangle,2009,https://boxd.it/1VsoSt,3.5,,,2021-06-13
2021-06-15,Life of Brian,1979,https://boxd.it/1VEhMd,4,,,2021-06-14
2021-06-18,Meet the Parents,2000,https://boxd.it/1VVOsp,3,,,2021-06-17
2021-06-18,Kiss of the Spider Woman,1985,https://boxd.it/1VXQRv,4,,,2021-06-17
2021-06-19,Mr. Nobody,2009,https://boxd.it/1W6xCT,4,,,2021-06-18
2021-06-20,The Other Guys,2010,https://boxd.it/1W9wKD,2.5,,,2021-06-19
2021-06-20,Denying Brazil,2000,https://boxd.it/1Wc2Dt,4.5,,,2021-06-19
2021-06-20,Rio 2096: A Story of Love and Fury,2013,https://boxd.it/1Wd5Xj,3.5,,,2021-06-19
2021-06-20,The Pink Panther,2006,https://boxd.it/1We163,3.5,,,2021-06-19
2021-06-21,Zero Dark Thirty,2012,https://boxd.it/1WjEIv,3.5,,,2021-06-20
2021-06-21,Meet the Fockers,2004,https://boxd.it/1WoJsH,2.5,,,2021-06-20
2021-06-22,Luca,2021,https://boxd.it/1WwPQ7,3.5,,,2021-06-21
2021-06-23,The Master,2012,https://boxd.it/1WAYX5,3,,,2021-06-22
2021-06-24,Bound,1996,https://boxd.it/1WJAlT,3.5,,,2021-06-23
2021-06-24,The Endless,2017,https://boxd.it/1WLweN,3.5,,,2021-06-23
2021-06-25,The Maltese Falcon,1941,https://boxd.it/1WONmv,4,,,2021-06-24
2021-06-25,There Will Be Blood,2007,https://boxd.it/1WQOiD,5,,,2021-06-24
2021-06-26,Chaplin,1992,https://boxd.it/1WYIjB,3,,,2021-06-25
2021-06-26,Man on Wire,2008,https://boxd.it/1WZxtd,4,,,2021-06-25
2021-06-26,The Kid,1921,https://boxd.it/1X0135,3.5,,,2021-06-25
2021-06-27,The Great Dictator,1940,https://boxd.it/1X3IXL,3.5,,,2021-06-26
2021-06-27,Passage of Venus,1874,https://boxd.it/1X4dyx,,,,2021-06-26
2021-06-27,The Corbett-Fitzsimmons Fight,1897,https://boxd.it/1X4hdt,,,,2021-06-26
2021-06-27,The Astronomer's Dream,1898,https://boxd.it/1X4jcn,,,,2021-06-26
2021-06-27,"A Trip Through Paris, France in The 1890s",1900,https://boxd.it/1X4qtl,,,,2021-06-26
2021-06-27,The Consequences of Feminism,1906,https://boxd.it/1X4A9Z,,,,2021-06-26
2021-06-27,The Student of Prague,1913,https://boxd.it/1X58GX,3.5,,,2021-06-26
2021-06-27,Scarface,1932,https://boxd.it/1X7w3T,3.5,,,2021-06-26
2021-06-28,Brazil,1985,https://boxd.it/1XhXfx,4,,,2021-06-27
2021-06-29,Planet of the Apes,1968,https://boxd.it/1XmQ4H,4,,,2021-06-28
2021-07-03,Good Manners,2017,https://boxd.it/1XUiCD,3.5,,,2021-07-02
2021-07-04,Fear Street: 1994,2021,https://boxd.it/1XYEXr,3.5,,,2021-07-03
2021-07-04,The Day the Earth Stood Still,1951,https://boxd.it/1Y2e0r,3,,,2021-07-03
2021-07-05,Daddy's Home 2,2017,https://boxd.it/1YazIF,3.5,,,2021-07-04
2021-07-05,Contact,1997,https://boxd.it/1YcOTn,3.5,,,2021-07-04
2021-07-07,Shiva Baby,2020,https://boxd.it/1YvDE5,3,,,2021-07-06
2021-07-08,Gattaca,1997,https://boxd.it/1YGOsh,3.5,,,2021-07-07
2021-07-09,Three Identical Strangers,2018,https://boxd.it/1YKJvD,3.5,,,2021-07-08
2021-07-10,Black Widow,2021,https://boxd.it/1YV431,3,,,2021-07-09
2021-07-10,Fear Street: 1978,2021,https://boxd.it/1YXFvb,4,,,2021-07-09
2021-07-11,Kiss Kiss Bang Bang,2005,https://boxd.it/1Z7vXf,3.5,,,2021-07-10
2021-07-12,Once Upon a Time in America,1984,https://boxd.it/1ZiIqb,4,,,2021-07-11
2021-07-13,The Tomorrow War,2021,https://boxd.it/1Zoa3p,2,,,2021-07-12
2021-07-13,Melancholia,2011,https://boxd.it/1ZrsQP,3,,,2021-07-12
2021-07-14,Run,2020,https://boxd.it/1Zxco3,3.5,,,2021-07-13
2021-07-14,A Quiet Place,2018,https://boxd.it/1ZAgub,4,,,2021-07-13
2021-07-16,Night of the Kings,2020,https://boxd.it/1ZQ26B,3,,,2021-07-15
